Source Filename,Original First Index,Original Last Index,Original First Timestamp,Original Last Timestamp,New Index,New Timestamp,Original Second Text,New Text (Full)
4 eng.srt,9,10,"00:00:29,154 --> 00:00:31,406","00:00:31,490 --> 00:00:33,784",9,"00:00:29,154 --> 00:00:33,784",and I'll admit I'm not innocent in all this.,"We both have done things we shouldn't have, and I'll admit I'm not innocent in all this."
4 eng.srt,50,51,"00:03:15,612 --> 00:03:18,740","00:03:18,824 --> 00:03:21,827",49,"00:03:15,612 --> 00:03:21,827","""Marty, I gave you the purchase orders to sign.""","So Cathy was giving me sass, saying, ""Marty, I gave you the purchase orders to sign."""
4 eng.srt,56,57,"00:03:32,921 --> 00:03:35,215","00:03:35,299 --> 00:03:39,636",54,"00:03:32,921 --> 00:03:39,636",and there sitting on her desk underneath a pile of old Peoples...,"So, she goes back to her desk, and there sitting on her desk underneath a pile of old Peoples..."
4 eng.srt,79,80,"00:04:45,911 --> 00:04:49,206","00:04:49,289 --> 00:04:52,459",76,"00:04:45,911 --> 00:04:52,459",he becomes painfully aware of his own mortality.,"But when a man looks into the eyes of his children for the first time, he becomes painfully aware of his own mortality."
4 eng.srt,81,83,"00:04:52,543 --> 00:04:53,544","00:04:58,590 --> 00:05:00,342",77,"00:04:52,543 --> 00:05:00,342",This urgency to make sure you leave the world,You feel this… This urgency to make sure you leave the world a better place than the one you found.
4 eng.srt,99,100,"00:05:51,768 --> 00:05:54,438","00:05:55,939 --> 00:05:59,318",93,"00:05:51,768 --> 00:05:59,318",Your considerable means since the whole Phyllis affair.,I've been thinking a lot about you and your… Your considerable means since the whole Phyllis affair.
4 eng.srt,108,109,"00:06:22,424 --> 00:06:25,302","00:06:26,762 --> 00:06:29,723",101,"00:06:22,424 --> 00:06:29,723",is the exact kind of distraction you need right now.,Maybe starting a foundation is the exact kind of distraction you need right now.
4 eng.srt,115,116,"00:06:47,616 --> 00:06:49,159","00:06:49,243 --> 00:06:52,996",107,"00:06:47,616 --> 00:06:52,996",once I have a little more money squirreled away.,I'm planning on starting one myself once I have a little more money squirreled away.
4 eng.srt,125,126,"00:07:23,193 --> 00:07:26,780","00:07:26,864 --> 00:07:28,949",116,"00:07:23,193 --> 00:07:28,949",and your account is now open.,"All righty. Your 501(c)(3) status is approved, and your account is now open."
4 eng.srt,138,139,"00:08:02,232 --> 00:08:05,444","00:08:05,527 --> 00:08:08,405",128,"00:08:02,232 --> 00:08:08,405",you both need to invest something at the start.,"Understood. But if you both are to be cosigners on the account, you both need to invest something at the start."
4 eng.srt,150,152,"00:08:34,264 --> 00:08:36,850","00:08:39,727 --> 00:08:40,895",139,"00:08:34,264 --> 00:08:40,895",but I promise I'll double this contribution,"My assets are a bit illiquid at the moment, but I promise I'll double this contribution in the very near future."
4 eng.srt,180,181,"00:10:18,118 --> 00:10:20,204","00:10:20,871 --> 00:10:26,543",167,"00:10:18,118 --> 00:10:26,543",just have this 8-by-10 document framed alongside these two receipts.,"- What can I do for you? - Nothing fancy, just have this 8-by-10 document framed alongside these two receipts."
4 eng.srt,184,185,"00:10:35,135 --> 00:10:36,345","00:10:36,428 --> 00:10:40,390",170,"00:10:35,135 --> 00:10:40,390",you pick up a few things about reverse molding and shadow boxes.,"You live long enough, you pick up a few things about reverse molding and shadow boxes."
4 eng.srt,191,192,"00:10:54,238 --> 00:10:55,280","00:10:56,865 --> 00:10:59,618",176,"00:10:54,238 --> 00:10:59,618",Appropriate quota of ocular spheres.,The… Appropriate quota of ocular spheres.
4 eng.srt,201,202,"00:11:18,595 --> 00:11:23,517","00:11:23,600 --> 00:11:24,768",185,"00:11:18,595 --> 00:11:24,768","but, anyway.","Basically the equivalent of Jupiter or Jove in the Roman Pantheon, but, anyway."
4 eng.srt,245,247,"00:13:41,113 --> 00:13:42,322","00:13:49,162 --> 00:13:51,290",228,"00:13:41,113 --> 00:13:51,290",I always had a dream that I would,I just… I always had a dream that I would host a bris for my son.
4 eng.srt,264,265,"00:14:40,214 --> 00:14:43,425","00:14:43,509 --> 00:14:45,429",245,"00:14:40,214 --> 00:14:45,429",but you won't spend it on your wife and children?,"So you'll spend money on this deli spread for a party that doesn't happen, but you won't spend it on your wife and children?"
4 eng.srt,268,269,"00:14:50,098 --> 00:14:52,809","00:14:52,893 --> 00:14:55,187",248,"00:14:50,098 --> 00:14:55,187",and you can go to the bathroom without crying.,"You're doing fine because your nipples aren't bleeding, and you can go to the bathroom without crying."
4 eng.srt,288,289,"00:15:57,624 --> 00:16:00,169","00:16:00,252 --> 00:16:01,879",267,"00:15:57,624 --> 00:16:01,879",but we're out of time.,"I think you know the answer to that question, but we're out of time."
4 eng.srt,304,305,"00:16:39,333 --> 00:16:42,628","00:16:42,711 --> 00:16:44,338",282,"00:16:39,333 --> 00:16:44,338",but take all the time you need.,"I mean, you know, it's a good way to give back, but take all the time you need."
4 eng.srt,331,333,"00:17:55,492 --> 00:17:56,785","00:18:04,418 --> 00:18:06,086",308,"00:17:55,492 --> 00:18:06,086",Outside of going to work…,Do you… Outside of going to work… Do you ever leave your house?
4 eng.srt,338,339,"00:18:23,103 --> 00:18:24,104","00:18:28,692 --> 00:18:29,693",313,"00:18:23,103 --> 00:18:29,693",Yes!,So… Yes!
4 eng.srt,374,375,"00:20:42,868 --> 00:20:44,828","00:20:46,830 --> 00:20:48,081",348,"00:20:42,868 --> 00:20:48,081",Ike.,"- But, Marty… - Marty… Ike."
4 eng.srt,385,386,"00:21:11,522 --> 00:21:14,942","00:21:15,025 --> 00:21:16,902",358,"00:21:11,522 --> 00:21:16,902","float amongst the staff, that kind of thing.","Sure, I thought you wanted to be boots on the ground, float amongst the staff, that kind of thing."
4 eng.srt,388,389,"00:21:20,030 --> 00:21:24,535","00:21:25,118 --> 00:21:28,121",360,"00:21:20,030 --> 00:21:28,121",and they might feel rudderless or insecure.,"I'm concerned people might be confused if there isn't an observable hierarchy, and they might feel rudderless or insecure."
4 eng.srt,392,393,"00:21:32,501 --> 00:21:35,629","00:21:36,421 --> 00:21:38,101",363,"00:21:32,501 --> 00:21:38,101",but they need to see it a little bit more.,"Great. The workers, they know my status here, but they need to see it a little bit more."
4 eng.srt,422,423,"00:23:01,882 --> 00:23:05,719","00:23:05,802 --> 00:23:07,513",392,"00:23:01,882 --> 00:23:07,513",and I cannot stand tyranny.,"I promise you, I love democracy, and I cannot stand tyranny."
4 eng.srt,446,447,"00:24:16,248 --> 00:24:19,084","00:24:19,168 --> 00:24:22,379",415,"00:24:16,248 --> 00:24:22,379",because I'm not crazy about that version of you.,"I'm not crazy about those kind of events, because I'm not crazy about that version of you."
4 eng.srt,453,454,"00:24:47,237 --> 00:24:50,407","00:24:50,490 --> 00:24:54,119",421,"00:24:47,237 --> 00:24:54,119","away from the band, and I'll put Mitch Rosen close to the band.","So I think I'll put Kirschenbaum here, away from the band, and I'll put Mitch Rosen close to the band."
4 eng.srt,468,469,"00:25:27,569 --> 00:25:30,197","00:25:30,280 --> 00:25:37,079",435,"00:25:27,569 --> 00:25:37,079",these invoices for a total of 54 industrial psychology sessions.,Mr. Stevens just handed me these invoices for a total of 54 industrial psychology sessions.
4 eng.srt,474,475,"00:25:44,086 --> 00:25:45,838","00:25:45,921 --> 00:25:48,006",440,"00:25:44,086 --> 00:25:48,006",our margins hit an all-time high last month.,"Yes, we can. Thanks to Mr. Stevens, our margins hit an all-time high last month."
4 eng.srt,478,479,"00:25:51,343 --> 00:25:55,222","00:25:55,305 --> 00:25:59,226",443,"00:25:51,343 --> 00:25:59,226",but do we really need a full-time industrial psychologist?,"Look, Marty. I'll admit Mr. Stevens gave us some helpful pointers, but do we really need a full-time industrial psychologist?"
4 eng.srt,482,483,"00:26:04,731 --> 00:26:07,693","00:26:07,776 --> 00:26:10,529",446,"00:26:04,731 --> 00:26:10,529",- but you can't stop it happening. - But you can't stop it happening.,"You have to embrace change, or you can fight it, - but you can't stop it happening. - But you can't stop it happening."
4 eng.srt,510,511,"00:27:59,680 --> 00:28:03,100","00:28:03,183 --> 00:28:08,564",473,"00:27:59,680 --> 00:28:08,564","that it might be nice, for a change, if someone gave a frame to you.","I figured everyone's always getting picture frames from you, that it might be nice, for a change, if someone gave a frame to you."
4 eng.srt,514,515,"00:28:13,777 --> 00:28:18,282","00:28:18,365 --> 00:28:21,285",476,"00:28:13,777 --> 00:28:21,285",- All right. - …so this is new and interesting to me.,No. This is great. We don't carry this kind… - All right. - …so this is new and interesting to me.
4 eng.srt,522,523,"00:28:49,813 --> 00:28:51,481","00:28:52,399 --> 00:28:53,775",483,"00:28:49,813 --> 00:28:53,775","Thank you, Ms. Fairchild.","Do it again. I was looking… Thank you, Ms. Fairchild."
4 eng.srt,539,540,"00:29:43,909 --> 00:29:45,619","00:29:49,164 --> 00:29:50,457",499,"00:29:43,909 --> 00:29:50,457",Yeah.,No. Well… Yeah.
4 eng.srt,547,548,"00:30:03,303 --> 00:30:04,303","00:30:04,888 --> 00:30:05,931",506,"00:30:03,303 --> 00:30:05,931",How does that all work?,That's… How does that all work?
4 eng.srt,551,552,"00:30:10,185 --> 00:30:14,106","00:30:14,189 --> 00:30:16,358",509,"00:30:10,185 --> 00:30:16,358",The what? The heart?,"He's kind of the brains of the operation, and I'm sort of the… The what? The heart?"
4 eng.srt,583,584,"00:31:44,988 --> 00:31:47,157","00:31:47,241 --> 00:31:49,117",540,"00:31:44,988 --> 00:31:49,117",their references in by the third trimester.,"A month? Well, you should have had their references in by the third trimester."
